"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @arianatortoday_: -NEW VIDEO- Ariana Grande making an ICONIC entrance &amp; performing 'You Can't Stop The Beat' on #HairsprayLive https://t…",FALSE,0,NA,2016-12-10 23:59:24,FALSE,NA,"807736505833754625",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iloveSelenaG25",16,TRUE,FALSE,NA,NA
"2","RT @JodieKate: Jennifer Hudson. Live.  #HairsprayLive https://t.co/2uOwCe5M8d",FALSE,0,NA,2016-12-10 23:58:42,FALSE,NA,"807736330327359489",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TorisNormani",162,TRUE,FALSE,NA,NA
"3","RT @arianatortoday_: -NEW VIDEO- Ariana Grande making an ICONIC entrance &amp; performing 'You Can't Stop The Beat' on #HairsprayLive https://t…",FALSE,0,NA,2016-12-10 23:58:20,FALSE,NA,"807736237779992576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Side2revival",16,TRUE,FALSE,NA,NA
"4","RT @arianatortoday_: -NEW VIDEO- Ariana Grande and Jennifer Hudson performing in #HairsprayLive on December 7 https://t.co/2QMuZw3bAH",FALSE,0,NA,2016-12-10 23:58:16,FALSE,NA,"807736219128004609",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","helpsiana",6,TRUE,FALSE,NA,NA
"5","RT @TheCarlosPena: Sending so much love to the #hairspraylive cast!! ""Today is the day of the show y'all"" I remember show day for #greaseli…",FALSE,0,NA,2016-12-10 23:57:40,FALSE,NA,"807736070817378304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","paoeligonzalez",1079,TRUE,FALSE,NA,NA
"6","RT @TheCarlosPena: Sending so much love to the #hairspraylive cast!! ""Today is the day of the show y'all"" I remember show day for #greaseli…",FALSE,0,NA,2016-12-10 23:57:31,FALSE,NA,"807736029289517058",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BTRglowDEMI",1079,TRUE,FALSE,NA,NA
"7","RT @MaddieBaillio: Two weeks ago I was studying for finals, and now I'm Tracy Turnblad! #HairsprayLive https://t.co/71t5IeImYf",FALSE,0,NA,2016-12-10 23:57:17,FALSE,NA,"807735973404614656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lauren_RDH",166,TRUE,FALSE,NA,NA
"8","RT @awel_jones: Nobody will ever beat Zac Efron as Link Larkin #HairsprayLive",FALSE,0,NA,2016-12-10 23:57:10,FALSE,NA,"807735941695766528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BethanyHoyland",773,TRUE,FALSE,NA,NA
"9","RT @bocaIocks: Ariana Grande Pack ♡ Ask/Rt if you want (mbf) ☆彡 ~ale #HairsprayLive https://t.co/u1eR73Se66",FALSE,0,NA,2016-12-10 23:55:39,FALSE,NA,"807735561461047296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","inspire_ing_you",79,TRUE,FALSE,NA,NA
"10","RT @DoveCameron: gossip girl &amp; thai food to mend my broken heart after #hairspraylive ended",FALSE,0,NA,2016-12-10 23:55:28,FALSE,NA,"807735515768229888",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MaizeBlake",457,TRUE,FALSE,NA,NA
"11","RT @arianatortoday_: -NEW VIDEO- Ariana Grande making an ICONIC entrance &amp; performing 'You Can't Stop The Beat' on #HairsprayLive https://t…",FALSE,0,NA,2016-12-10 23:55:25,FALSE,NA,"807735501486747648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","5amilygang",16,TRUE,FALSE,NA,NA
"12","RT @broadwaycom: Jennifer Hudson took us to church and more of your favorite #HairsprayLive performances: https://t.co/APUaPUusn2 https://t…",FALSE,0,NA,2016-12-10 23:54:53,FALSE,NA,"807735368460210176",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","alyssawray_",25,TRUE,FALSE,NA,NA
"13","RT @arianatortoday_: -NEW VIDEO- Ariana Grande and Jennifer Hudson performing in #HairsprayLive on December 7 https://t.co/2QMuZw3bAH",FALSE,0,NA,2016-12-10 23:54:36,FALSE,NA,"807735297471578112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","grandebabes93",6,TRUE,FALSE,NA,NA
