"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Quobyte: #SC16: Don’t miss out on your chance to talk to these sharp gentlemen about #Quobyte’s parallel file system for #HPC storage!…",FALSE,0,NA,2016-11-17 23:58:50,FALSE,NA,"799401442347843584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Visruss",1,TRUE,FALSE,NA,NA
"2","DriveScale, Inc. is still at #SC16! Stop by the RAID Incorporated booth https://t.co/1Q7jHxW1i2",FALSE,0,NA,2016-11-17 23:58:10,FALSE,NA,"799401274231824384",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","marianamaya",0,FALSE,FALSE,NA,NA
"3","RT @hpcgarage: China takes the Gordon Bell Prize at #SC16 -- a hearty congrats to the winners! https://t.co/DZiTRafMdH",FALSE,0,NA,2016-11-17 23:57:25,FALSE,NA,"799401083743281152",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","ochiai_tetu",9,TRUE,FALSE,NA,NA
"4","RT @Supercomputing: Daino: A High-Level Framework for Parallel and Efficient AMR on GPUs - Best Paper Award. Congratulations! #SC16",FALSE,0,NA,2016-11-17 23:55:47,FALSE,NA,"799400672768692228",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MukulH92",11,TRUE,FALSE,NA,NA
"5","RT @DellEMCNews: Dell EMC adds #1 in HPC to the list! Watch @jburton on why #HPC is the F1 racing of the tech industry. #SC16 https://t.co/…",FALSE,0,NA,2016-11-17 23:55:28,FALSE,NA,"799400596193288192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","johntobin123",65,TRUE,FALSE,NA,NA
"6",".@engadget details how NVIDIA is helping build an #AI platform to accelerate cancer research with CANDLE. #SC16 https://t.co/uREDi31Zif",FALSE,0,NA,2016-11-17 23:55:21,FALSE,NA,"799400566220652546",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","LaSandraBrill",0,FALSE,FALSE,NA,NA
"7","RT @cyclecomputing: It's the end of the expo floor and we're getting a little bit carried away. Thanks for a great week, #sc16. https://t.c…",FALSE,0,NA,2016-11-17 23:54:11,FALSE,NA,"799400270442610688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jo_SmartConnect",4,TRUE,FALSE,NA,NA
"8","RT @TACC: Congratulations to Greg Abram and colleagues for #SC16 Best Scientific Visualization &amp; Data Analytics Showcase Award! https://t.c…",FALSE,0,NA,2016-11-17 23:51:53,FALSE,NA,"799399690718642181",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cquammen",3,TRUE,FALSE,NA,NA
"9","RT @StreamComputing: There was a lot of competition between USA and China during #SC16. This is the bag we got... https://t.co/JvijFzsC4f",FALSE,0,NA,2016-11-17 23:51:21,FALSE,NA,"799399556505026561",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AchwaqKhalid",2,TRUE,FALSE,NA,NA
"10","Nice shirt Karan, go the ABs #sc16 #rugby #AllBlacks @GPUComputing @Azure https://t.co/7vSVjhuVrl",FALSE,2,NA,2016-11-17 23:51:06,FALSE,NA,"799399493405970433",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HPCsharp",0,FALSE,FALSE,NA,NA
"11","There was a lot of competition between USA and China during #SC16. This is the bag we got... https://t.co/JvijFzsC4f",FALSE,4,NA,2016-11-17 23:51:00,FALSE,NA,"799399471465410560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","StreamComputing",2,FALSE,FALSE,NA,NA
"12","RT @NVIDIATesla: NVIDIA scores 9 @HPCWire Awards at #SC16! Follow #HPCMeetsAI for more exciting @Supercomputing news. https://t.co/57KqPokC…",FALSE,0,NA,2016-11-17 23:47:56,FALSE,NA,"799398698119610368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Enrico_Smiley",20,TRUE,FALSE,NA,NA
"13","RT @HPCwire: Congratulations @ibm for your #HPCwireAwards! #sc16 #hpc #hpcmatters https://t.co/Y9thN2bJoo",FALSE,0,NA,2016-11-17 23:47:01,FALSE,NA,"799398466317352962",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alexanderlopezf",13,TRUE,FALSE,NA,NA
"14","RT @Supercomputing: Daino: A High-Level Framework for Parallel and Efficient AMR on GPUs - Best Paper Award. Congratulations! #SC16",FALSE,0,NA,2016-11-17 23:46:58,FALSE,NA,"799398454246121472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sean_couch",11,TRUE,FALSE,NA,NA
"15","RT @Supercomputing: Daino: A High-Level Framework for Parallel and Efficient AMR on GPUs - Best Paper Award. Congratulations! #SC16",FALSE,0,NA,2016-11-17 23:45:41,FALSE,NA,"799398130445848577",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HPCsharp",11,TRUE,FALSE,NA,NA
"16","Students@SC: Dinner with Interesting People who have social skills starting now, 5:00-8:00pm, Ballroom BD #SC16",FALSE,1,NA,2016-11-17 23:45:00,FALSE,NA,"799397961507672064",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Supercomputing",0,FALSE,FALSE,NA,NA
"17","RT @Supercomputing: Thank you to the #SC16 SCinet vendors, contributors, &amp; volunteers for your support! https://t.co/EQDM3oRZZl",FALSE,0,NA,2016-11-17 23:43:57,FALSE,NA,"799397696226217984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jamieeduncan",2,TRUE,FALSE,NA,NA
"18","RT @OpenPOWERorg: Learn more about our newest member, @Supermicro_SMCI! https://t.co/Zo0Ua8K5tQ Visit them at #SC16! #HPCMatters https://t.…",FALSE,0,NA,2016-11-17 23:41:19,FALSE,NA,"799397031366098944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vinayagamrk",13,TRUE,FALSE,NA,NA
"19","RT @OLCFGOV: OLCF and @generalelectric receive 2016 @HPCwire Readers’ Choice Award #SC16 #hpcmatters https://t.co/jo87gnNsax https://t.co/w…",FALSE,0,NA,2016-11-17 23:40:54,FALSE,NA,"799396927301304321",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vinayagamrk",10,TRUE,FALSE,NA,NA
